,open,high,low,close,volume,open_interest
2016-01-04 09:15:00,11410.0,11445.0,11140.0,11360.0,45060.0,332026
2016-01-04 09:30:00,11360.0,11360.0,11295.0,11320.0,23470.0,335510
2016-01-04 09:45:00,11315.0,11325.0,11300.0,11300.0,9340.0,337612
2016-01-04 10:00:00,11300.0,11315.0,11285.0,11290.0,11390.0,337200
2016-01-04 10:15:00,11285.0,11295.0,11280.0,11285.0,11592.0,343086
2016-01-04 10:45:00,11290.0,11290.0,11255.0,11260.0,11354.0,347326
2016-01-04 11:00:00,11260.0,11280.0,11245.0,11270.0,11548.0,351442
2016-01-04 11:15:00,11270.0,11285.0,11265.0,11275.0,3596.0,351562
2016-01-04 11:30:00,11275.0,11275.0,11265.0,11270.0,2660.0,352160
2016-01-04 13:45:00,11270.0,11280.0,11255.0,11265.0,6520.0,351816
2016-01-04 14:00:00,11270.0,11305.0,11260.0,11300.0,12114.0,349716
2016-01-04 14:15:00,11300.0,11330.0,11300.0,11310.0,10858.0,349498
2016-01-04 14:30:00,11310.0,11320.0,11295.0,11300.0,4272.0,350088
2016-01-04 14:45:00,11300.0,11315.0,11285.0,11285.0,6290.0,349958
2016-01-04 15:00:00,11285.0,11300.0,11270.0,11280.0,7744.0,349584
2016-01-04 21:15:00,11275.0,11275.0,11255.0,11275.0,8900.0,351296
2016-01-04 21:30:00,11275.0,11295.0,11275.0,11290.0,3206.0,349878
2016-01-04 21:45:00,11285.0,11295.0,11270.0,11280.0,3862.0,350590
2016-01-04 22:00:00,11280.0,11280.0,11255.0,11260.0,6018.0,352914
2016-01-04 22:15:00,11260.0,11265.0,11245.0,11255.0,6860.0,355380
2016-01-04 22:30:00,11260.0,11275.0,11255.0,11260.0,2576.0,356228
2016-01-04 22:45:00,11265.0,11265.0,11245.0,11255.0,4770.0,358710
2016-01-04 23:00:00,11255.0,11260.0,11250.0,11260.0,1036.0,358910
2016-01-04 23:15:00,11260.0,11260.0,11245.0,11250.0,2960.0,358646
2016-01-04 23:30:00,11245.0,11250.0,11230.0,11235.0,7534.0,362152
2016-01-05 09:15:00,11235.0,11240.0,11205.0,11210.0,15840.0,367692
2016-01-05 09:30:00,11210.0,11220.0,11200.0,11210.0,7626.0,369520
2016-01-05 09:45:00,11210.0,11235.0,11200.0,11225.0,6784.0,369956
2016-01-05 10:00:00,11225.0,11250.0,11215.0,11240.0,7684.0,371436
2016-01-05 10:15:00,11240.0,11245.0,11230.0,11245.0,3068.0,371942
2016-01-05 10:45:00,11245.0,11250.0,11235.0,11235.0,3482.0,371464
2016-01-05 11:00:00,11235.0,11245.0,11230.0,11245.0,2390.0,372118
2016-01-05 11:15:00,11240.0,11245.0,11230.0,11235.0,1584.0,372132
2016-01-05 11:30:00,11235.0,11245.0,11230.0,11235.0,2998.0,371276
2016-01-05 13:45:00,11235.0,11240.0,11225.0,11235.0,3926.0,372024
2016-01-05 14:00:00,11240.0,11245.0,11225.0,11230.0,5452.0,372240
2016-01-05 14:15:00,11230.0,11235.0,11210.0,11215.0,6062.0,374002
2016-01-05 14:30:00,11215.0,11235.0,11215.0,11230.0,2668.0,374138
